exhaustive_data,D1,D2,D3,D4,D5,D6,D7,D8,D9
0,-999,-999,-999,-999,-999,-999,-999,-999,-999
-0.0198,-999,-999,-999,-999,-999,-999,-999,-999,-999
-0.0394,-999,-999,-999,-999,-999,-999,-999,-999,-999
-0.0588,-999,-999,-999,-999,-999,-999,-999,-999,-999
-0.078,-999,-999,-999,-999,-999,-999,-999,-999,-999
-0.097,-999,-999,-999,-999,-999,-999,-999,-999,-999
-0.1158,-999,-999,-999,-999,-999,-999,-999,-999,-999
-0.1344,-999,-999,-999,-999,-999,-999,-999,-999,-999
-0.1528,-999,-999,-999,-999,-999,-999,-999,-999,-999
-0.171,-999,-999,-999,-999,-999,-999,-999,-999,-999
-0.189,-999,-999,-999,-999,-999,-999,-999,-999,-999
-0.2068,-999,-999,-999,-999,-999,-999,-999,-999,-999
-0.2244,-999,-999,-999,-999,-999,-999,-999,-999,-999
-0.2418,-999,-999,-999,-999,-999,-999,-999,-999,-999
-0.259,-999,-999,-999,-999,-999,-999,-999,-999,-999
-0.276,-999,-999,-999,-999,-999,-999,-999,-999,-999
-0.2928,-999,-999,-999,-999,-999,-999,-999,-999,-999
-0.3094,-999,-999,-999,-999,-999,-999,-999,-999,-999
-0.3258,-999,-999,-999,-999,-999,-999,-999,-999,-999
-0.342,-999,-999,-999,-999,-999,-999,-999,-999,-999
-0.358,-999,-999,-999,-999,-999,-999,-999,-999,-999
-0.3738,-999,-999,-999,-999,-999,-999,-999,-999,-999
-0.3894,-999,-999,-999,-999,-999,-999,-999,-999,-999
-0.4048,-999,-999,-999,-999,-999,-999,-999,-999,-999
-0.42,-999,-999,-999,-999,-999,-999,-999,-999,-999
-0.435,-999,-999,-999,-999,-999,-999,-999,-999,-999
-0.4498,-999,-999,-999,-999,-999,-999,-999,-999,-999
-0.4644,-999,-999,-999,-999,-999,-999,-999,-999,-999
-0.4788,-999,-999,-999,-999,-999,-999,-999,-999,-999
-0.493,-999,-999,-999,-999,-999,-999,-999,-999,-999
-0.507,-999,-999,-999,-999,-999,-999,-999,-999,-999
-0.5208,-999,-999,-999,-999,-999,-999,-999,-999,-999
-0.5344,-999,-999,-999,-999,-999,-999,-999,-999,-999
-0.5478,-999,-999,-999,-999,-999,-999,-999,-999,-999
-0.561,-999,-999,-999,-999,-999,-999,-999,-999,-999
-0.574,-999,-999,-999,-999,-999,-999,-999,-999,-999
-0.5868,-999,-999,-999,-999,-999,-999,-999,-999,-999
-0.5994,-999,-999,-999,-999,-999,-999,-999,-999,-999
-0.6118,-999,-999,-999,-999,-999,-999,-999,-999,-999
-0.624,-999,-999,-999,-999,-999,-999,-999,-999,-999
-0.636,-999,-999,-999,-999,-999,-999,-999,-999,-999
-0.6478,-999,-999,-999,-999,-999,-999,-999,-999,-999
-0.6594,-999,-999,-999,-999,-999,-999,-999,-999,-999
-0.6708,-999,-999,-999,-999,-999,-999,-999,-999,-999
-0.682,-999,-999,-999,-999,-999,-999,-999,-999,-999
-0.693,-999,-999,-999,-999,-999,-999,-999,-999,-999
-0.7038,-999,-999,-999,-999,-999,-999,-999,-999,-999
-0.7144,-999,-999,-999,-999,-999,-999,-999,-999,-999
-0.7248,-999,-999,-999,-999,-999,-999,-999,-999,-999
-0.735,-999,-999,-999,-999,-999,-999,-999,-999,-999
-0.745,-999,-999,-999,-999,-999,-999,-999,-999,-999
-0.7548,-999,-999,-999,-999,-999,-999,-999,-999,-999
-0.7644,-999,-999,-999,-999,-999,-999,-999,-999,-999
-0.7738,-999,-999,-999,-999,-999,-999,-999,-999,-999
-0.783,-999,-999,-999,-999,-999,-999,-999,-999,-999
-0.792,-999,-999,-999,-999,-999,-999,-999,-999,-999
-0.8008,-999,-999,-999,-999,-999,-999,-999,-999,-999
-0.8094,-999,-999,-999,-999,-999,-999,-999,-999,-999
-0.8178,-999,-999,-999,-999,-999,-999,-999,-999,-999
-0.826,-999,-999,-999,-999,-999,-999,-999,-999,-999
-0.834,-999,-999,-999,-999,-999,-999,-999,-999,-999
-0.8418,-999,-999,-999,-999,-999,-999,-999,-999,-999
-0.8494,-999,-999,-999,-999,-999,-999,-999,-999,-999
-0.8568,-999,-999,-999,-999,-999,-999,-999,-999,-999
-0.864,-999,-999,-999,-999,-999,-999,-999,-999,-999
-0.871,-999,-999,-999,-999,-999,-999,-999,-999,-999
-0.8778,-999,-999,-999,-999,-999,-999,-999,-999,-999
-0.8844,-999,-999,-999,-999,-999,-999,-999,-999,-999
-0.8908,-999,-999,-999,-999,-999,-999,-999,-999,-999
-0.897,-999,-999,-999,-999,-999,-999,-999,-999,-999
-0.903,-999,-999,-999,-999,-999,-999,-999,-999,-999
-0.9088,-999,-999,-999,-999,-999,-999,-999,-999,-999
-0.9144,-999,-999,-999,-999,-999,-999,-999,-999,-999
-0.9198,-999,-999,-999,-999,-999,-999,-999,-999,-999
-0.925,-999,-999,-999,-999,-999,-999,-999,-999,-999
-0.93,-999,-999,-999,-999,-999,-999,-999,-999,-999
-0.9348,-999,-999,-999,-999,-999,-999,-999,-999,-999
-0.9394,-999,-999,-999,-999,-999,-999,-999,-999,-999
-0.9438,-999,-999,-999,-999,-999,-999,-999,-999,-999
-0.948,-999,-999,-999,-999,-999,-999,-999,-999,-999
-0.952,-999,-999,-999,-999,-999,-999,-999,-999,-999
-0.9558,-999,-999,-999,-999,-999,-999,-999,-999,-999
-0.9594,-999,-999,-999,-999,-999,-999,-999,-999,-999
-0.9628,-999,-999,-999,-999,-999,-999,-999,-999,-999
-0.966,-999,-999,-999,-999,-999,-999,-999,-999,-999
-0.969,-999,-999,-999,-999,-999,-999,-999,-999,-999
-0.9718,-999,-999,-999,-999,-999,-999,-999,-999,-999
-0.9744,-999,-999,-999,-999,-999,-999,-999,-999,-999
-0.9768,-999,-999,-999,-999,-999,-999,-999,-999,-999
-0.979,-999,-999,-999,-999,-999,-999,-999,-999,-999
-0.981,-999,-999,-999,-999,-999,-999,-999,-999,-999
-0.9828,-999,-999,-999,-999,-999,-999,-999,-999,-999
-0.9844,-999,-999,-999,-999,-999,-999,-999,-999,-999
-0.9858,-999,-999,-999,-999,-999,-999,-999,-999,-999
-0.987,-999,-999,-999,-999,-999,-999,-999,-999,-999
-0.988,-999,-999,-999,-999,-999,-999,-999,-999,-999
-0.9888,-999,-999,-999,-999,-999,-999,-999,-999,-999
-0.9894,-999,-999,-999,-999,-999,-999,-999,-999,-999
-0.9898,-999,-999,-999,-999,-999,-999,-999,-999,-999
-0.99,-999,-999,-999,-999,-999,-999,-999,-999,-999
-0.99,-0.99,-999,-0.99,-999,-999,-999,-999,-999,-999
-0.9898,-999,-999,-999,-999,-999,-999,-999,-999,-999
-0.9894,-999,-999,-999,-999,-999,-999,-999,-999,-999
-0.9888,-999,-999,-999,-999,-999,-999,-999,-999,-999
-0.988,-999,-999,-999,-999,-999,-999,-999,-999,-999
-0.987,-999,-999,-999,-999,-999,-999,-999,-999,-999
-0.9858,-999,-999,-999,-999,-999,-999,-999,-999,-999
-0.9844,-999,-999,-999,-999,-999,-999,-999,-999,-999
-0.9828,-999,-999,-999,-999,-999,-999,-999,-999,-999
-0.981,-999,-999,-999,-999,-999,-999,-999,-999,-999
-0.979,-999,-999,-999,-999,-999,-999,-999,-999,-999
-0.9768,-999,-999,-999,-999,-999,-999,-999,-999,-999
