exhaustive_data,D1,D10,D2,D3,D4,D5,D6,D7,D8,D9 
0.0438,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.042975,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.0428778,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.0429111,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.0391111,-999,-999,-999,-999,-999,0.0391111,-999,-999,-999,-999
0.0396556,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.0387444,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.0398333,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.0426778,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.0439778,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.0478889,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.047,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.0453667,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.0490556,-999,0.0490556,-999,-999,-999,-999,-999,-999,-999,-999
0.0510222,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.0510889,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.0513222,0.0513222,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.0517556,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.0484111,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.0452889,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.0422,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.0389889,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.0383556,-999,-999,-999,-999,-999,0.0383556,-999,-999,-999,-999
0.0388889,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.0389333,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.0400556,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.0402889,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.0405,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.0388,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.0389444,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.0379778,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.0395667,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.0413667,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.0429556,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.0426222,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.0413556,-999,-999,-999,-999,-999,-999,-999,0.0413556,-999,-999
0.0414889,-999,-999,-999,-999,-999,-999,-999,-999,-999,0.0414889
0.0372111,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
