exhaustive_data,D1,D10,D2,D3,D4,D5,D6,D7,D8,D9 
0.0414,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.0414,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.0629889,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.0845667,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.106611,-999,-999,-999,-999,-999,0.106611,-999,-999,-999,-999
0.0861333,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.0874667,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.105122,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.128944,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.1266,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.147922,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.1642,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.185322,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.200678,-999,0.200678,-999,-999,-999,-999,-999,-999,-999,-999
0.205633,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.190378,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.1296,0.1296,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.0879889,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.0459444,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.0436222,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.0424667,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.0458444,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.0471444,-999,-999,-999,-999,-999,0.0471444,-999,-999,-999,-999
0.0500556,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.0498778,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.0485,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.0475444,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.0497,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.0504,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.0571,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.0612444,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.0657778,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.0664333,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.0716333,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.0696222,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.0715889,-999,-999,-999,-999,-999,-999,-999,0.0715889,-999,-999
0.0736,-999,-999,-999,-999,-999,-999,-999,-999,-999,0.0736
0.0794667,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.0786889,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.0823222,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.101178,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.119489,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.176333,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.216856,-999,-999,-999,-999,-999,-999,-999,-999,0.216856,-999
0.255311,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.257311,-999,-999,-999,0.257311,-999,-999,-999,-999,-999,-999
0.254411,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.252722,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.247789,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.247733,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.248589,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.246778,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.230678,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.217711,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.1658,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.137278,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.1095,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.115822,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.115133,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.107722,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.104311,-999,-999,-999,-999,-999,-999,-999,0.104311,-999,-999
0.100478,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.0964556,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.0978,-999,-999,-999,-999,-999,-999,-999,-999,0.0978,-999
0.0969444,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.0972889,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.0916667,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.0914,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.117433,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.150833,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.198222,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.212633,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.227244,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.227367,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.234278,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.2381,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.208011,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.172556,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.117867,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.0953333,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.0723556,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.0634222,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.0708222,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.0690222,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.0650333,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.0652,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.0685556,-999,-999,-999,-999,-999,0.0685556,-999,-999,-999,-999
0.0672778,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.0675222,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.0659111,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.0850445,-999,-999,0.0850445,-999,-999,-999,-999,-999,-999,-999
0.0990222,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.152389,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.188811,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.221533,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.220222,-999,-999,-999,-999,0.220222,-999,-999,-999,-999,-999
0.186156,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.148644,-999,-999,-999,-999,-999,-999,-999,-999,-999,0.148644
0.0931556,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.0802,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.0641555,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.0674556,-999,0.0674556,-999,-999,-999,-999,-999,-999,-999,-999
0.0652,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.0631556,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.0932444,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.125722,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.179889,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.200722,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.218856,-999,-999,-999,-999,-999,-999,-999,0.218856,-999,-999
0.2246,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.192867,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.154844,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.119111,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.103644,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.0627889,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.0635889,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.0623889,-999,-999,-999,-999,-999,-999,-999,-999,-999,0.0623889
0.0649667,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.0684667,-999,-999,-999,-999,-999,-999,-999,-999,-999,0.0684667
0.0676556,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.0628556,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.0596778,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.0571889,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.0595111,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.0647111,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.0695,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.0711556,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.0725667,-999,-999,-999,-999,-999,-999,-999,-999,0.0725667,-999
0.0723667,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.0729778,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.0692444,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.0726,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.0729444,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.0732222,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.0708333,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.0693111,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.0691333,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.0676,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.0619667,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.0617889,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.0606667,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.0632,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.0668667,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.0688111,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.0692556,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.0688,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.0679111,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.0725333,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.0697,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.0758667,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.042775,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.0599091,-999,-999,-999,-999,-999,-999,0.0599091,-999,-999,-999
0.075175,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.107592,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.123092,-999,-999,-999,-999,-999,0.123092,-999,-999,-999,-999
0.15345,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.149942,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.152142,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.167608,-999,-999,-999,-999,0.167608,-999,-999,-999,-999,-999
0.183908,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.180358,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.194392,-999,-999,0.194392,-999,-999,-999,-999,-999,-999,-999
0.205892,-999,-999,-999,-999,-999,-999,0.205892,-999,-999,-999
0.223442,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.226908,-999,-999,-999,-999,-999,-999,-999,-999,-999,0.226908
0.167683,-999,0.167683,-999,-999,-999,-999,-999,-999,-999,-999
0.122992,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.076575,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.0609333,-999,-999,-999,0.0609333,-999,-999,-999,-999,-999,-999
0.0425417,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.0418917,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.0429667,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.046425,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.0475917,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.049675,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.048475,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.0485333,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.048725,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.05285,-999,-999,-999,-999,-999,-999,-999,0.05285,-999,-999
0.0579,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.0614333,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.0656833,-999,-999,-999,-999,-999,-999,0.0656833,-999,-999,-999
0.067575,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.0678,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.070975,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.07175,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.0743667,-999,-999,-999,-999,-999,-999,-999,-999,-999,0.0743667
0.0796417,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.0838583,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.0840083,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.0824167,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.124808,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.165175,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.224325,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.23985,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.252908,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.253008,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.252483,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.252275,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.250917,-999,0.250917,-999,-999,-999,-999,-999,-999,-999,-999
0.250608,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.247775,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.248608,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.19715,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.161958,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.129017,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.121575,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.11385,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.111642,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.107558,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.101342,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.094725,-999,-999,-999,-999,0.094725,-999,-999,-999,-999,-999
0.0958083,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.0951917,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.09695,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.0944333,-999,-999,-999,-999,-999,-999,-999,-999,-999,0.0944333
0.0904917,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.100983,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.110708,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.154567,-999,-999,-999,-999,-999,-999,-999,0.154567,-999,-999
0.193333,-999,-999,-999,0.193333,-999,-999,-999,-999,-999,-999
0.232125,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.231142,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.231433,-999,-999,-999,-999,-999,-999,-999,-999,-999,0.231433
0.23165,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.226758,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.218,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.167483,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.122708,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.0779167,-999,-999,-999,-999,-999,-999,-999,0.0779167,-999,-999
0.0736833,-999,-999,-999,0.0736833,-999,-999,-999,-999,-999,-999
0.07115,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.0667333,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.0680917,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.0658667,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.0668333,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.0661333,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.0721833,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.07025,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.0696917,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.0679917,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.10625,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.145742,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.195108,-999,-999,-999,-999,-999,-999,-999,-999,0.195108,-999
0.208042,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.205375,-999,-999,-999,-999,-999,-999,-999,-999,0.205375,-999
0.193417,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.138833,-999,0.138833,-999,-999,-999,-999,-999,-999,-999,-999
0.09945,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.0592667,-999,-999,-999,-999,0.0592667,-999,-999,-999,-999,-999
0.0634083,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.0636667,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.0635,-999,0.0635,-999,-999,-999,-999,-999,-999,-999,-999
0.07335,-999,0.07335,-999,-999,-999,-999,-999,-999,-999,-999
0.0843,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.136075,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.175642,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.218,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.219867,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.21045,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.198983,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.1728,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.145892,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.101258,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.0867583,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.05925,-999,-999,-999,-999,-999,-999,-999,-999,-999,0.05925
0.0632083,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.0640667,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.0673333,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.0660583,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.0634417,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.05885,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.0573833,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.0605083,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.065,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.0704333,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.0721417,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.0721417,-999,0.0721417,-999,-999,-999,-999,-999,-999,-999,-999
0.0713333,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.0718583,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.0704417,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.0695,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.0710167,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.070925,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.0712667,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.067425,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.0700417,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.0701417,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.066,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.0611333,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.0618083,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.0623,-999,-999,-999,-999,-999,0.0623,-999,-999,-999,-999
0.0670667,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.0704167,-999,-999,-999,-999,-999,0.0704167,-999,-999,-999,-999
0.0713333,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.0730917,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.0705,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.0708667,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.0771,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.076,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.0443556,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.0480667,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.104892,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.146531,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.176023,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.174008,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.186446,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.1974,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.214962,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.214108,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.213446,-999,-999,-999,-999,-999,-999,0.213446,-999,-999,-999
0.208215,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.220054,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.222954,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.195469,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.171008,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.101854,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.0741538,-999,-999,-999,0.0741538,-999,-999,-999,-999,-999,-999
0.0422538,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.0419846,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.0411692,-999,-999,-999,-999,-999,-999,-999,-999,0.0411692,-999
0.0414077,-999,-999,-999,-999,-999,-999,-999,-999,-999,0.0414077
0.0435077,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.0468231,-999,-999,-999,-999,-999,0.0468231,-999,-999,-999,-999
0.0474,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.0490154,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.0482,-999,-999,-999,-999,-999,-999,0.0482,-999,-999,-999
0.0512846,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.0567538,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.0598154,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.0630308,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.0648308,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.0677231,-999,-999,-999,-999,-999,-999,-999,-999,-999,0.0677231
0.0706462,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.0707846,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.0735692,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.0752462,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.0824846,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.0878231,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.0842692,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.0933231,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.107446,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.1702,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.205577,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.245231,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.249,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.248577,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.250808,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.252085,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.252946,-999,0.252946,-999,-999,-999,-999,-999,-999,-999,-999
0.238223,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0.2383,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
